OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	Cheek_mean	taxonomy
139	2.54608470445	0.636403059649	0.81854800734	1.0	0.799175	1.20448	0.0	1.9054	0.0	1__Bacteria; 2__Verrucomicrobia; 3__Verrucomicrobia_u; 4__Verrucomicrobia_u_u; 5__Verrucomicrobia_u_u_u; 6__Verrucomicrobia_u_u_u_u; 7__Verrucomicrobia_u_u_u_u_u
254	2.53968253968	0.637544394481	0.81854800734	1.0	0.8759	0.0	0.0	1.38932857143	0.0	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Lachnospiraceae; 6__Oribacterium; 7__Oribacterium_u
409	2.53968253968	0.637544394481	0.81854800734	1.0	0.9425125	0.0	0.0	1.17296190476	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium sp. VCM10
129	2.53695029925	0.638031716748	0.81854800734	1.0	4.6141625	5.6683	4.7445	4.42130952381	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Turicella; 7__Turicella otitidis
82	2.48021189337	0.648182631043	0.825875084486	1.0	3.4424875	3.37076	0.0	3.83086666667	0.0	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Negativicutes_u; 5__Negativicutes_u_u; 6__Negativicutes_u_u_u; 7__Negativicutes_u_u_u_u
128	2.4699573387	0.65002335547	0.825875084486	1.0	2.3875375	2.10584	0.0	3.15528095238	0.0	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonellaceae_u; 7__Veillonellaceae_u_u
103	2.43163430421	0.656918117468	0.830622427375	1.0	2.5441375	3.17398	0.0	2.93569047619	0.0	1__Bacteria; 2__Deinococcus-Thermus; 3__Deinococci; 4__Deinococcales; 5__Deinococcaceae; 6__Deinococcus; 7__Deinococcus_u
7	2.41106856944	0.66062792207	0.831316476098	1.0	1.107675	1.55594	0.0	2.08882380952	0.0	1__Eukaryota; 2__Ascomycota; 3__Eurotiomycetes; 4__Onygenales; 5__Onygenales_n; 6__Coccidioides; 7__Coccidioides immitis
401	2.38266683867	0.665761890917	0.833787511005	1.0	0.461225	0.81676	0.0	1.2357047619	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Oxalobacteraceae_u; 7__Oxalobacteraceae_u_u
198	2.35336762422	0.671070365699	0.836452635918	1.0	1.4227625	2.28144	0.0	2.56985714286	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Candidatus Regiella; 7__Candidatus Regiella insecticola
313	2.31688614769	0.67769637814	0.840727110617	1.0	0.868225	1.8582	0.0	1.68613333333	0.0	1__Bacteria; 2__Bacteroidetes; 3__Cytophagia; 4__Cytophagales; 5__Hymenobacteraceae; 6__Hymenobacter; 7__Hymenobacter_u
196	2.28966542038	0.682651259089	0.842898033523	1.0	1.922875	2.75812	0.0	2.66996190476	0.0	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Fusobacteriales_u; 6__Fusobacteriales_u_u; 7__Fusobacteriales_u_u_u
140	2.25932629462	0.688183799082	0.845758594199	1.0	1.82605	0.89972	2.8976	2.01204761905	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium pseudogenitalium
166	2.22570835188	0.694325469286	0.84654515384	1.0	0.6245875	0.74008	0.0	1.87996190476	0.0	1__Bacteria; 2__Proteobacteria; 3__Deltaproteobacteria; 4__Desulfovibrionales; 5__Desulfovibrionaceae; 6__Desulfovibrionaceae_u; 7__Desulfovibrionaceae_u_u
395	2.22059041685	0.695261419123	0.84654515384	1.0	0.368375	1.36446	0.0	0.977452380952	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Arthrobacter; 7__Arthrobacter sp. Edens01
429	2.15871886121	0.706593636162	0.850825940126	1.0	0.0	0.70816	0.0	0.719742857143	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Leuconostocaceae; 6__Leuconostoc; 7__Leuconostoc_u
333	2.15634638197	0.707028744617	0.850825940126	1.0	0.0	1.00814	0.0	1.06256190476	0.0	1__Bacteria; 2__Cyanobacteria; 3__Cyanobacteria_n; 4__Oscillatoriales; 5__Oscillatoriales_u; 6__Oscillatoriales_u_u; 7__Oscillatoriales_u_u_u
422	2.1421437659	0.709634243385	0.850825940126	1.0	0.5560625	0.0	0.0	0.982861904762	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Aeromonadales; 5__Aeromonadaceae; 6__Aeromonas; 7__Aeromonas caviae
152	2.13079265304	0.711717516455	0.850825940126	1.0	1.4044625	1.9322	0.0	2.2215	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Alloprevotella; 7__Prevotella sp. oral taxon 473
117	2.0669245648	0.723451055857	0.854533552472	1.0	1.195025	2.18898	0.0	1.72974285714	0.0	1__Bacteria; 2__Firmicutes; 3__Erysipelotrichia; 4__Erysipelotrichales; 5__Erysipelotrichaceae; 6__Faecalibaculum; 7__Faecalibaculum rodentium
173	2.05411010558	0.725807082574	0.854533552472	1.0	1.76965	1.82564	0.0	2.55097619048	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillaceae; 6__Bacillus; 7__Bacillus thermoamylovorans
353	2.04361536281	0.727736913697	0.854533552472	1.0	0.461225	1.72106	0.0	0.867376190476	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Curvibacter; 7__Curvibacter lanceolatus
115	2.04318721258	0.727815649253	0.854533552472	1.0	0.4812875	1.28188	0.0	1.65511428571	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Parabacteroides; 7__Parabacteroides sp. YL27
130	1.99295077582	0.73705551198	0.861535998448	1.0	1.8394	1.4711	0.0	2.82061428571	0.0	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Fusobacteriaceae; 6__Fusobacteriaceae_u; 7__Fusobacteriaceae_u_u
