OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
194	8.98865165253	0.0294421501262	0.111383555899	1.0	2.68956	3.47384285714	0.37717	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Alteromonadales; 5__Pseudoalteromonadaceae; 6__Pseudoalteromonas; 7__Pseudoalteromonas luteoviolacea
659	8.87865972379	0.0309484401362	0.1156882167	1.0	1.84517	0.316121428571	0.0	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas putida
491	8.84025470653	0.0314919406746	0.116334933786	1.0	0.0	0.816514285714	1.94756	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas sp. SRS2
622	8.52027966803	0.0363981590493	0.132895603971	1.0	0.91278	0.7879	3.38049	6.74825	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus prophage_u
160	8.39470086912	0.0385213054367	0.139030918473	1.0	1.40621	2.1213	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiaceae; 6__Burkholderiaceae_u; 7__Burkholderiaceae_u_u
250	8.34628399163	0.0393717792193	0.14048566676	1.0	2.7735	0.188157142857	0.96971	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. CF161
306	8.30770206022	0.0400625907682	0.140510369112	1.0	0.78844	0.0	2.20551	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Carnobacteriaceae; 6__Carnobacterium; 7__Carnobacterium maltaromaticum
261	8.29604252806	0.0402736726754	0.140510369112	1.0	0.31396	2.35749285714	0.83074	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus mutans
332	8.21569569486	0.0417580445987	0.141875061691	1.0	0.57828	2.8964	1.76069	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Afipia; 7__Afipia_u
39	8.20448363193	0.0419693797046	0.141875061691	1.0	5.11028	7.25857857143	6.98783	6.217525	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Alphaproteobacteria_u; 5__Alphaproteobacteria_u_u; 6__Alphaproteobacteria_u_u_u; 7__Alphaproteobacteria_u_u_u_u
86	8.20178926441	0.0420203208194	0.141875061691	1.0	0.82942	0.800921428571	3.04268	6.3555	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus pseudopneumoniae
25	8.10632418485	0.0438646610698	0.146526633786	1.0	9.59552	7.98292142857	8.36517	2.450175	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinobacteria_u; 5__Actinobacteria_u_u; 6__Actinobacteria_u_u_u; 7__Actinobacteria_u_u_u_u
513	8.03136515263	0.045367910627	0.148746920726	1.0	0.0	1.44307142857	0.0	0.960325	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas sp. Ant H11
644	8.01217115689	0.0457608331424	0.148746920726	1.0	0.0	0.577771428571	2.04423	0.0	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus infantis
245	8.00187030885	0.0459730678539	0.148746920726	1.0	0.90727	2.40453571429	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas paucimobilis
646	7.98012762078	0.0464241981883	0.148746920726	1.0	2.89837	1.17365	0.46662	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas sp. CBZ-4
489	7.84434600714	0.04934055907	0.156494298464	1.0	0.0	1.82291428571	0.72577	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Caulobacterales; 5__Caulobacteraceae; 6__Phenylobacterium; 7__Phenylobacterium zucineum
120	7.80977198697	0.0501111766674	0.157349094736	1.0	2.35482	4.24875714286	1.25142	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcales_u; 6__Micrococcales_u_u; 7__Micrococcales_u_u_u
